County,County Code,Population
"Louisa County, IA",19115,67123
"Lucas County, IA",19117,51955
"Lyon County, IA",19119,70497
"Madison County, IA",19121,94920
"Mahaska County, IA",19123,133527
"Marion County, IA",19125,199612
"Marshall County, IA",19127,243187
"Mills County, IA",19129,89674
"Mitchell County, IA",19131,64283
"Monona County, IA",19133,53413
"Monroe County, IA",19135,47491
"Montgomery County, IA",19137,61444
"Muscatine County, IA",19139,257499
"O'Brien County, IA",19141,83745
"Osceola County, IA",19143,36732
"Page County, IA",19145,92600
"Palo Alto County, IA",19147,54485
"Plymouth County, IA",19149,150146
"Pocahontas County, IA",19151,41772
"Polk County, IA",19153,2822329
"Pottawattamie County, IA",19155,560028
"Poweshiek County, IA",19157,111365
"Ringgold County, IA",19159,30261
"Sac County, IA",19161,59539
"Scott County, IA",19163,1032164
"Shelby County, IA",19165,70842
"Sioux County, IA",19167,208832
"Story County, IA",19169,575197
"Tama County, IA",19171,103645
"Taylor County, IA",19173,37094
"Union County, IA",19175,74797
"Van Buren County, IA",19177,43696
"Wapello County, IA",19179,211007
"Warren County, IA",19181,294828
"Washington County, IA",19183,133035
"Wayne County, IA",19185,38511
"Webster County, IA",19187,220721
"Winnebago County, IA",19189,63458
"Winneshiek County, IA",19191,123262
"Woodbury County, IA",19193,614930
"Worth County, IA",19195,45228
"Wright County, IA",19197,76838
"Allen County, KS",20001,76427
"Anderson County, KS",20003,47126
"Atchison County, KS",20005,98565
"Barber County, KS",20007,28413
"Barton County, KS",20009,161359
"Bourbon County, KS",20011,88360
"Brown County, KS",20013,58511
"Butler County, KS",20015,399439
"Chase County, KS",20017,16052
"Chautauqua County, KS",20019,20481
"Cherokee County, KS",20021,122674
"Cheyenne County, KS",20023,16070
"Clark County, KS",20025,12514
"Clay County, KS",20027,49168
"Cloud County, KS",20029,54766
"Coffey County, KS",20031,50119
"Comanche County, KS",20033,11152
"Cowley County, KS",20035,214287
"Crawford County, KS",20037,235002
"Decatur County, KS",20039,17358
"Dickinson County, KS",20041,114989
"Doniphan County, KS",20043,46595
"Douglas County, KS",20045,710629
"Edwards County, KS",20047,17623
"Elk County, KS",20049,15507
"Ellis County, KS",20051,173395
"Ellsworth County, KS",20053,37987
"Finney County, KS",20055,221817
"Ford County, KS",20057,206390
"Franklin County, KS",20059,153884
"Geary County, KS",20061,213162
"Gove County, KS",20063,15968
"Graham County, KS",20065,15301
"Grant County, KS",20067,46007
"Gray County, KS",20069,36249
"Greeley County, KS",20071,7693
"Greenwood County, KS",20073,37325
"Hamilton County, KS",20075,15469
"Harper County, KS",20077,34276
"Harvey County, KS",20079,208301
"Haskell County, KS",20081,24367
"Hodgeman County, KS",20083,11289
"Jackson County, KS",20085,80132
"Jefferson County, KS",20087,113468
"Jewell County, KS",20089,17651
"Johnson County, KS",20091,3494548
"Kearny County, KS",20093,23614
"Kingman County, KS",20095,45366
"Kiowa County, KS",20097,15084
"Labette County, KS",20099,123232
"Lane County, KS",20101,9832
"Leavenworth County, KS",20103,478948
"Lincoln County, KS",20105,18558
"Linn County, KS",20107,57588
"Logan County, KS",20109,16913
"Lyon County, KS",20111,200369
"McPherson County, KS",20113,173800
"Marion County, KS",20115,72578
"Marshall County, KS",20117,59247
"Meade County, KS",20119,25695
"Miami County, KS",20121,198315
"Mitchell County, KS",20123,37465
"Montgomery County, KS",20125,199093
"Morris County, KS",20127,33633
"Morton County, KS",20129,17515
"Nemaha County, KS",20131,61050
"Neosho County, KS",20133,97304
"Ness County, KS",20135,17854
"Norton County, KS",20137,33096
"Osage County, KS",20139,95481
"Osborne County, KS",20141,21984
"Ottawa County, KS",20143,35667
"Pawnee County, KS",20145,40710
"Phillips County, KS",20147,32616
"Pottawatomie County, KS",20149,140732
"Pratt County, KS",20151,57928
"Rawlins County, KS",20153,15233
"Reno County, KS",20155,379774
"Republic County, KS",20157,28402
"Rice County, KS",20159,59025
"Riley County, KS",20161,447053
"Rooks County, KS",20163,30651
"Rush County, KS",20165,18767
"Russell County, KS",20167,41738
"Saline County, KS",20169,331463
"Scott County, KS",20171,29969
"Sedgwick County, KS",20173,3065081
"Seward County, KS",20175,136655
"Shawnee County, KS",20177,1069794
"Sheridan County, KS",20179,15173
"Sherman County, KS",20181,36002
"Smith County, KS",20183,22082
"Stafford County, KS",20185,25485
"Stanton County, KS",20187,12486
"Stevens County, KS",20189,34178
"Sumner County, KS",20191,140081
"Thomas County, KS",20193,47134
"Trego County, KS",20195,17358
"Wabaunsee County, KS",20197,41688
"Wallace County, KS",20199,9117
"Washington County, KS",20201,33276
"Wichita County, KS",20203,12867
"Wilson County, KS",20205,53052
"Woodson County, KS",20207,18988
"Wyandotte County, KS",20209,979832
"Adair County, KY",21001,114943
"Allen County, KY",21003,124021
"Anderson County, KY",21005,133043
"Ballard County, KY",21007,48856
"Barren County, KY",21009,261715
"Bath County, KY",21011,73483
"Bell County, KY",21013,163580
"Boone County, KY",21015,769364
"Bourbon County, KY",21017,120329
"Boyd County, KY",21019,289394
"Boyle County, KY",21021,178570
"Bracken County, KY",21023,50049
"Breathitt County, KY",21025,79394
"Breckinridge County, KY",21027,120406
"Bullitt County, KY",21029,473977
"Butler County, KY",21031,77054
"Caldwell County, KY",21033,76151
"Calloway County, KY",21035,230773
"Campbell County, KY",21037,552738
"Carlisle County, KY",21039,29325
"Carroll County, KY",21041,64596
"Carter County, KY",21043,162777
"Casey County, KY",21045,95219
"Christian County, KY",21047,436164
"Clark County, KY",21049,215243
"Clay County, KY",21051,124761
"Clinton County, KY",21053,61144
"Crittenden County, KY",21055,54849
"Cumberland County, KY",21057,40396
"Daviess County, KY",21059,596904
"Edmonson County, KY",21061,72696
"Elliott County, KY",21063,45576
"Estill County, KY",21065,86092
"Fayette County, KY",21067,1897901
"Fleming County, KY",21069,87075
"Floyd County, KY",21071,223818
"Franklin County, KY",21073,301763
"Fulton County, KY",21075,37379
"Gallatin County, KY",21077,51916
"Garrard County, KY",21079,103385
"Grant County, KY",21081,149413
"Graves County, KY",21083,224110
"Grayson County, KY",21085,157275
"Green County, KY",21087,66407
"Greenup County, KY",21089,215574
"Hancock County, KY",21091,52501
"Hardin County, KY",21093,648639
"Harlan County, KY",21095,164655
"Harrison County, KY",21097,112078
"Hart County, KY",21099,111914
"Henderson County, KY",21101,276993
"Henry County, KY",21103,94567
"Hickman County, KY",21105,27659
"Hopkins County, KY",21107,275751
"Jackson County, KY",21109,80309
"Jefferson County, KY",21111,4587508
"Jessamine County, KY",21113,312601
"Johnson County, KY",21115,137844
"Kenton County, KY",21117,988481
"Knott County, KY",21119,93522
"Knox County, KY",21121,189536
"Larue County, KY",21123,85093
"Laurel County, KY",21125,360765
"Lawrence County, KY",21127,94558
"Lee County, KY",21129,41789
"Leslie County, KY",21131,63663
"Letcher County, KY",21133,137112
"Lewis County, KY",21135,81406
"Lincoln County, KY",21137,146750
"Livingston County, KY",21139,55814
"Logan County, KY",21141,161295
"Lyon County, KY",21143,49347
"McCracken County, KY",21145,391600
"McCreary County, KY",21147,106114
"McLean County, KY",21149,56414
"Madison County, KY",21151,533895
"Magoffin County, KY",21153,76255
"Marion County, KY",21155,117421
"Marshall County, KY",21157,187099
"Martin County, KY",21159,72268
"Mason County, KY",21161,103057
"Meade County, KY",21163,171268
"Menifee County, KY",21165,38247
"Mercer County, KY",21167,128847
"Metcalfe County, KY",21169,60037
"Monroe County, KY",21171,64017
"Montgomery County, KY",21173,166235
"Morgan County, KY",21175,79789
"Muhlenberg County, KY",21177,186187
"Nelson County, KY",21179,271528
"Nicholas County, KY",21181,42591
"Ohio County, KY",21183,144828
"Oldham County, KY",21185,389174
"Owen County, KY",21187,64324
"Owsley County, KY",21189,27021
"Pendleton County, KY",21191,87133
"Perry County, KY",21193,163160
"Pike County, KY",21195,366046
"Powell County, KY",21197,74321
"Pulaski County, KY",21199,384542
"Robertson County, KY",21201,12994
"Rockcastle County, KY",21203,100759
"Rowan County, KY",21205,144625
"Russell County, KY",21207,106506
"Scott County, KY",21209,318527
"Shelby County, KY",21211,277070
"Simpson County, KY",21213,108345
"Spencer County, KY",21215,108774
"Taylor County, KY",21217,151744
"Todd County, KY",21219,74403
"Trigg County, KY",21221,86019
"Trimble County, KY",21223,52067
"Union County, KY",21225,89297
"Warren County, KY",21227,747322
"Washington County, KY",21229,72296
"Wayne County, KY",21231,123265
"Webster County, KY",21233,79303
"Whitley County, KY",21235,215950
"Wolfe County, KY",21237,43321
"Woodford County, KY",21239,155656
"Acadia Parish, LA",22001,374692
"Allen Parish, LA",22003,153843
"Ascension Parish, LA",22005,720084
"Assumption Parish, LA",22007,136584
"Avoyelles Parish, LA",22009,246106
"Beauregard Parish, LA",22011,219935
"Bienville Parish, LA",22013,82463
"Bossier Parish, LA",22015,754938
"Caddo Parish, LA",22017,1497304
"Calcasieu Parish, LA",22019,1197446
"Caldwell Parish, LA",22021,59873
"Cameron Parish, LA",22023,41002
"Catahoula Parish, LA",22025,59940
"Claiborne Parish, LA",22027,97402
"Concordia Parish, LA",22029,120408
"De Soto Parish, LA",22031,163202
"East Baton Rouge Parish, LA",22033,2672283
"East Carroll Parish, LA",22035,43757
"East Feliciana Parish, LA",22037,117637
"Evangeline Parish, LA",22039,201881
"Franklin Parish, LA",22041,122168
"Grant Parish, LA",22043,133940
"Iberia Parish, LA",22045,438284
"Iberville Parish, LA",22047,198457
"Jackson Parish, LA",22049,95520
"Jefferson Parish, LA",22051,2616368
"Jefferson Davis Parish, LA",22053,188689
"Lafayette Parish, LA",22055,1433252
"Lafourche Parish, LA",22057,588332
"LaSalle Parish, LA",22059,89492
"Lincoln Parish, LA",22061,285490
"Livingston Parish, LA",22063,825525
"Madison Parish, LA",22065,69289
"Morehouse Parish, LA",22067,157322
"Natchitoches Parish, LA",22069,234325
"Orleans Parish, LA",22071,2328445
"Ouachita Parish, LA",22073,936638
"Plaquemines Parish, LA",22075,140714
"Pointe Coupee Parish, LA",22077,133523
"Rapides Parish, LA",22079,791986
"Red River Parish, LA",22081,51719
"Richland Parish, LA",22083,123153
"Sabine Parish, LA",22085,144647
"St. Bernard Parish, LA",22087,271910
"St. Charles Parish, LA",22089,316725
"St. Helena Parish, LA",22091,63198
"St. James Parish, LA",22093,128918
"St. John the Baptist Parish, LA",22095,261388
"St. Landry Parish, LA",22097,501155
"St. Martin Parish, LA",22099,321885
"St. Mary Parish, LA",22101,312355
"St. Tammany Parish, LA",22103,1506290
"Tangipahoa Parish, LA",22105,778200
"Tensas Parish, LA",22107,28152
"Terrebonne Parish, LA",22109,676376
"Union Parish, LA",22111,134748
"Vermilion Parish, LA",22113,358915
"Vernon Parish, LA",22115,305696
"Washington Parish, LA",22117,278601
"Webster Parish, LA",22119,238918
"West Baton Rouge Parish, LA",22121,153635
"West Carroll Parish, LA",22123,67360
"West Feliciana Parish, LA",22125,92419
"Winn Parish, LA",22127,86945
"Androscoggin County, ME",23001,644926
"Aroostook County, ME",23003,410853
"Cumberland County, ME",23005,1741328
"Franklin County, ME",23007,180668
"Hancock County, ME",23009,327927
"Kennebec County, ME",23011,726729
"Knox County, ME",23013,238386
"Lincoln County, ME",23015,204989
"Oxford County, ME",23017,343991
"Penobscot County, ME",23019,914329
"Piscataquis County, ME",23021,101497
"Sagadahoc County, ME",23023,211506
"Somerset County, ME",23025,306115
"Waldo County, ME",23027,236036
"Washington County, ME",23029,190156
"York County, ME",23031,1214073
"Allegany County, MD",24001,433721
"Anne Arundel County, MD",24003,3397683
"Baltimore County, MD",24005,4972993
"Calvert County, MD",24009,546448
"Caroline County, MD",24011,197157
"Carroll County, MD",24013,1006887
"Cecil County, MD",24015,614853
"Charles County, MD",24017,942637
"Dorchester County, MD",24019,194040
"Frederick County, MD",24021,1485667
"Garrett County, MD",24023,176849
"Harford County, MD",24025,1506758
"Howard County, MD",24027,1888820
"Kent County, MD",24029,118048
"Montgomery County, MD",24031,6242480
"Prince George's County, MD",24033,5434159
"Queen Anne's County, MD",24035,295175
"St. Mary's County, MD",24037,669346
"Somerset County, MD",24039,155421
"Talbot County, MD",24041,224435
"Washington County, MD",24043,900542
"Wicomico County, MD",24045,613500
"Worcester County, MD",24047,309792
"Baltimore city, MD",24510,3695553
"Barnstable County, MA",25001,1285370
"Berkshire County, MA",25003,765692
"Bristol County, MA",25005,3347575
"Dukes County, MA",25007,103834
"Essex County, MA",25009,4662545
"Franklin County, MA",25011,424731
"Hampden County, MA",25013,2814861
"Hampshire County, MA",25015,966832
"Middlesex County, MA",25017,9515691
"Nantucket County, MA",25019,65744
"Norfolk County, MA",25021,4178970
"Plymouth County, MA",25023,3066169
"Suffolk County, MA",25025,4690299
"Worcester County, MA",25027,4918088
"Alcona County, MI",26001,62446
"Alger County, MI",26003,55801
"Allegan County, MI",26005,690325
"Alpena County, MI",26007,172408
"Antrim County, MI",26009,139592
"Arenac County, MI",26011,91309
"Baraga County, MI",26013,51188
"Barry County, MI",26015,359137
"Bay County, MI",26017,631579
"Benzie County, MI",26019,105302
"Berrien County, MI",26021,927531
"Branch County, MI",26023,261317
"Calhoun County, MI",26025,807205
"Cass County, MI",26027,309808
"Charlevoix County, MI",26029,157045
"Cheboygan County, MI",26031,153011
"Chippewa County, MI",26033,228002
"Clare County, MI",26035,183542
"Clinton County, MI",26037,467089
"Crawford County, MI",26039,83002
"Delta County, MI",26041,217865
"Dickinson County, MI",26043,154176
"Eaton County, MI",26045,653741
"Emmet County, MI",26047,199188
"Genesee County, MI",26049,2462012
"Gladwin County, MI",26051,151761
"Gogebic County, MI",26053,92765
"Grand Traverse County, MI",26055,548869
"Gratiot County, MI",26057,247992
"Hillsdale County, MI",26059,275274
"Houghton County, MI",26061,218179
"Huron County, MI",26063,190099
"Ingham County, MI",26065,1723873
"Ionia County, MI",26067,385323
"Iosco County, MI",26069,151764
"Iron County, MI",26071,67687
"Isabella County, MI",26073,424657
"Jackson County, MI",26075,955527
"Kalamazoo County, MI",26077,1565315
"Kalkaska County, MI",26079,104571
"Kent County, MI",26081,3831859
"Keweenaw County, MI",26083,12993
"Lake County, MI",26085,69541
"Lapeer County, MI",26087,529457
"Leelanau County, MI",26089,130829
"Lenawee County, MI",26091,592201
"Livingston County, MI",26093,1126854
"Luce County, MI",26095,38342
"Mackinac County, MI",26097,65312
"Macomb County, MI",26099,5193585
"Manistee County, MI",26101,146659
"Marquette County, MI",26103,402044
"Mason County, MI",26105,173261
"Mecosta County, MI",26107,259518
"Menominee County, MI",26109,140363
"Midland County, MI",26111,501060
"Missaukee County, MI",26113,90204
"Monroe County, MI",26115,899064
"Montcalm County, MI",26117,379435
"Montmorency County, MI",26119,55597
"Muskegon County, MI",26121,1036831
"Newaygo County, MI",26123,288921
"Oakland County, MI",26125,7465819
"Oceana County, MI",26127,157665
"Ogemaw County, MI",26129,126047
"Ontonagon County, MI",26131,36088
"Osceola County, MI",26133,139197
"Oscoda County, MI",26135,49828
"Otsego County, MI",26137,146213
"Ottawa County, MI",26139,1688075
"Presque Isle County, MI",26141,77198
"Roscommon County, MI",26143,143346
"Saginaw County, MI",26145,1159921
"St. Clair County, MI",26147,958696
"St. Joseph County, MI",26149,365771
"Sanilac County, MI",26151,248745
"Schoolcraft County, MI",26153,48709
"Shiawassee County, MI",26155,411644
"Tuscola County, MI",26157,320658
"Van Buren County, MI",26159,451755
"Washtenaw County, MI",26161,2173293
"Wayne County, MI",26163,10556287
"Wexford County, MI",26165,198439
"Aitkin County, MN",27001,94529
"Anoka County, MN",27003,2076692
"Becker County, MN",27005,202079
"Beltrami County, MN",27007,276472
"Benton County, MN",27009,238904
"Big Stone County, MN",27011,30354
"Blue Earth County, MN",27013,397541
"Brown County, MN",27015,151573
"Carlton County, MN",27017,213673
"Carver County, MN",27019,597573
"Cass County, MN",27021,173687
"Chippewa County, MN",27023,72349
"Chisago County, MN",27025,328057
"Clay County, MN",27027,374670
"Clearwater County, MN",27029,52947
"Cook County, MN",27031,31704
"Cottonwood County, MN",27033,68840
"Crow Wing County, MN",27035,383154
"Dakota County, MN",27037,2500384
"Dodge County, MN",27039,123156
"Douglas County, MN",27041,223405
"Faribault County, MN",27043,83910
"Fillmore County, MN",27045,125486
"Freeborn County, MN",27047,183826
"Goodhue County, MN",27049,278705
"Grant County, MN",27051,35766
"Hennepin County, MN",27053,7377926
"Houston County, MN",27055,112362
"Hubbard County, MN",27057,124954
"Isanti County, MN",27059,233619
"Itasca County, MN",27061,272075
"Jackson County, MN",27063,60409
"Kanabec County, MN",27065,95824
"Kandiyohi County, MN",27067,255330
"Kittson County, MN",27069,26193
"Koochiching County, MN",27071,76499
"Lac qui Parle County, MN",27073,40832
"Lake County, MN",27075,63895
"Lake of the Woods County, MN",27077,23086
"Le Sueur County, MN",27079,167439
"Lincoln County, MN",27081,34523
"Lyon County, MN",27083,153984
"McLeod County, MN",27085,215331
"Mahnomen County, MN",27087,33074
"Marshall County, MN",27089,56335
"Martin County, MN",27091,120128
"Meeker County, MN",27093,138710
"Mille Lacs County, MN",27095,155382
"Morrison County, MN",27097,197511
"Mower County, MN",27099,236506
"Murray County, MN",27101,50367
"Nicollet County, MN",27103,201233
"Nobles County, MN",27105,130693
"Norman County, MN",27107,39599
"Olmsted County, MN",27109,915258
"Otter Tail County, MN",27111,348174
"Pennington County, MN",27113,85046
"Pine County, MN",27115,174828
"Pipestone County, MN",27117,55158
"Polk County, MN",27119,189614
"Pope County, MN",27121,66073
"Ramsey County, MN",27123,3236335
"Red Lake County, MN",27125,24191
"Redwood County, MN",27127,92514
"Renville County, MN",27129,89000
"Rice County, MN",27131,393713
"Rock County, MN",27133,57141
"Roseau County, MN",27135,93072
"St. Louis County, MN",27137,1201654
"Scott County, MN",27139,855452
"Sherburne County, MN",27141,557123
"Sibley County, MN",27143,89589
"Stearns County, MN",27145,932442
"Steele County, MN",27147,220288
"Stevens County, MN",27149,58411
"Swift County, MN",27151,56493
"Todd County, MN",27153,146233
"Traverse County, MN",27155,20216
"Wabasha County, MN",27157,128570
"Wadena County, MN",27159,82639
"Waseca County, MN",27161,113501
"Washington County, MN",27163,1516149
"Watonwan County, MN",27165,65900
"Wilkin County, MN",27167,38384
"Winona County, MN",27169,305860
"Wright County, MN",27171,792884
"Yellow Medicine County, MN",27173,59724
"Adams County, MS",28001,188524
"Alcorn County, MS",28003,223523
"Amite County, MS",28005,75333
"Attala County, MS",28007,113299
"Benton County, MS",28009,49896
"Bolivar County, MS",28011,197154
"Calhoun County, MS",28013,87734
"Carroll County, MS",28015,61187
"Chickasaw County, MS",28017,103515
"Choctaw County, MS",28019,49762
"Claiborne County, MS",28021,54574
"Clarke County, MS",28023,96040
"Clay County, MS",28025,119557
"Coahoma County, MS",28027,144200
"Copiah County, MS",28029,172032
"Covington County, MS",28031,115909
"DeSoto County, MS",28033,1048839
"Forrest County, MS",28035,455819
"Franklin County, MS",28037,46842
"George County, MS",28039,141874
"Greene County, MS",28041,82431
"Grenada County, MS",28043,128273
"Hancock County, MS",28045,279113
"Harrison County, MS",28047,1211879
"Hinds County, MS",28049,1449330
"Holmes County, MS",28051,108587
"Humphreys County, MS",28053,51444
"Issaquena County, MS",28055,8070
"Itawamba County, MS",28057,141124
"Jackson County, MS",28059,849682
"Jasper County, MS",28061,99228
"Jefferson County, MS",28063,44400
"Jefferson Davis County, MS",28065,69368
"Jones County, MS",28067,409810
"Kemper County, MS",28069,60232
"Lafayette County, MS",28071,320365
"Lamar County, MS",28073,364253
"Lauderdale County, MS",28075,467744
"Lawrence County, MS",28077,75485
"Leake County, MS",28079,137443
"Lee County, MS",28081,511402
"Leflore County, MS",28083,182026
"Lincoln County, MS",28085,207309
"Lowndes County, MS",28087,357080
"Madison County, MS",28089,620927
"Marion County, MS",28091,152646
"Marshall County, MS",28093,215536
"Monroe County, MS",28095,215255
"Montgomery County, MS",28097,61488
"Neshoba County, MS",28099,176332
"Newton County, MS",28101,129454
"Noxubee County, MS",28103,65562
"Oktibbeha County, MS",28105,297488
"Panola County, MS",28107,205349
"Pearl River County, MS",28109,331454
"Perry County, MS",28111,72843
"Pike County, MS",28113,238726
"Pontotoc County, MS",28115,187778
"Prentiss County, MS",28117,152107
"Quitman County, MS",28119,44636
"Rankin County, MS",28121,900086
"Scott County, MS",28123,169913
"Sharkey County, MS",28125,27304
"Simpson County, MS",28127,162802
"Smith County, MS",28129,96461
"Stone County, MS",28131,108802
"Sunflower County, MS",28133,160621
"Tallahatchie County, MS",28135,86936
"Tate County, MS",28137,170274
"Tippah County, MS",28139,132408
"Tishomingo County, MS",28141,116988
"Tunica County, MS",28143,61703
"Union County, MS",28145,169753
"Walthall County, MS",28147,87991
"Warren County, MS",28149,283770
"Washington County, MS",28151,285291
"Wayne County, MS",28153,122819
"Webster County, MS",28155,59178
"Wilkinson County, MS",28157,54337
"Winston County, MS",28159,110154
"Yalobusha County, MS",28161,74456
"Yazoo County, MS",28163,165656
"Adair County, MO",29001,152627
"Andrew County, MO",29003,104632
"Atchison County, MO",29005,31876
"Audrain County, MO",29007,154779
"Barry County, MO",29009,214349
"Barton County, MO",29011,71768
"Bates County, MO",29013,98651
"Benton County, MO",29015,113599
"Bollinger County, MO",29017,73593
"Boone County, MO",29019,1053334
"Buchanan County, MO",29021,534791
"Butler County, MO",29023,257050
"Caldwell County, MO",29025,54415
"Callaway County, MO",29027,268942
"Camden County, MO",29029,268064
"Cape Girardeau County, MO",29031,469762
"Carroll County, MO",29033,53614
"Carter County, MO",29035,37203
"Cass County, MO",29037,614656
"Cedar County, MO",29039,84053
"Chariton County, MO",29041,45358
"Christian County, MO",29043,503095
"Clark County, MO",29045,40916
"Clay County, MO",29047,1428116
"Clinton County, MO",29049,123113
"Cole County, MO",29051,460111
"Cooper County, MO",29053,105833
"Crawford County, MO",29055,146080
"Dade County, MO",29057,45589
"Dallas County, MO",29059,99200
"Daviess County, MO",29061,49727
"DeKalb County, MO",29063,76050
"Dent County, MO",29065,93286
"Douglas County, MO",29067,80465
"Dunklin County, MO",29069,184028
"Franklin County, MO",29071,616164
"Gasconade County, MO",29073,88864
"Gentry County, MO",29075,40247
"Greene County, MO",29077,1728225
"Grundy County, MO",29079,60677
"Harrison County, MO",29081,51489
"Henry County, MO",29083,130928
"Hickory County, MO",29085,55978
"Holt County, MO",29087,26833
"Howard County, MO",29089,60889
"Howell County, MO",29091,241072
"Iron County, MO",29093,61161
"Jackson County, MO",29095,4141813
"Jasper County, MO",29097,712501
"Jefferson County, MO",29099,1340619
"Johnson County, MO",29101,324376
"Knox County, MO",29103,23835
"Laclede County, MO",29105,213225
"Lafayette County, MO",29107,196189
"Lawrence County, MO",29109,229562
"Lewis County, MO",29111,60453
"Lincoln County, MO",29113,331941
"Linn County, MO",29115,73382
"Livingston County, MO",29117,90506
"McDonald County, MO",29119,136527
"Macon County, MO",29121,91932
"Madison County, MO",29123,74081
"Maries County, MO",29125,53488
"Marion County, MO",29127,172824
"Mercer County, MO",29129,22126
"Miller County, MO",29131,151116
"Mississippi County, MO",29133,83271
"Moniteau County, MO",29135,95769
"Monroe County, MO",29137,51898
"Montgomery County, MO",29139,70101
"Morgan County, MO",29141,121392
"New Madrid County, MO",29143,107638
"Newton County, MO",29145,351308
"Nodaway County, MO",29147,136598
"Oregon County, MO",29149,64748
"Osage County, MO",29151,82059
"Ozark County, MO",29153,55901
"Pemiscot County, MO",29155,103126
"Perry County, MO",29157,115117
"Pettis County, MO",29159,253998
"Phelps County, MO",29161,268532
"Pike County, MO",29163,111067
"Platte County, MO",29165,586675
"Polk County, MO",29167,188537
"Pulaski County, MO",29169,317132
"Putnam County, MO",29171,28983
"Ralls County, MO",29173,61303
"Randolph County, MO",29175,149813
"Ray County, MO",29177,137290
"Reynolds County, MO",29179,38580
"Ripley County, MO",29181,82585
"St. Charles County, MO",29183,2324182
"St. Clair County, MO",29185,56413
"Ste. Genevieve County, MO",29186,107372
"St. Francois County, MO",29187,398719
"St. Louis County, MO",29189,5998934
"Saline County, MO",29195,138392
"Schuyler County, MO",29197,26665
"Scotland County, MO",29199,29499
"Scott County, MO",29201,232945
"Shannon County, MO",29203,49490
"Shelby County, MO",29205,36566
"Stoddard County, MO",29207,177672
"Stone County, MO",29209,187839
"Sullivan County, MO",29211,37924
"Taney County, MO",29213,328339
"Texas County, MO",29215,154049
"Vernon County, MO",29217,124464
"Warren County, MO",29219,202651
"Washington County, MO",29221,149841
"Wayne County, MO",29223,79818
"Webster County, MO",29225,226717
"Worth County, MO",29227,12341
"Wright County, MO",29229,110027
"St. Louis city, MO",29510,1874388
"Beaverhead County, MT",30001,56225
"Big Horn County, MT",30003,79607
"Blaine County, MT",30005,39916
"Broadwater County, MT",30007,34816
"Carbon County, MT",30009,63017
"Carter County, MT",30011,7186
"Cascade County, MT",30013,492058
"Chouteau County, MT",30015,34779
"Custer County, MT",30017,71409
"Daniels County, MT",30019,10583
"Dawson County, MT",30021,55545
"Deer Lodge County, MT",30023,54940
"Fallon County, MT",30025,18426
"Fergus County, MT",30027,68187
"Flathead County, MT",30029,584345
"Gallatin County, MT",30031,616955
"Garfield County, MT",30033,7784
"Glacier County, MT",30035,82163
"Golden Valley County, MT",30037,5017
"Granite County, MT",30039,19691
"Hill County, MT",30041,99088
"Jefferson County, MT",30043,70556
"Judith Basin County, MT",30045,11786
"Lake County, MT",30047,177854
"Lewis and Clark County, MT",30049,401367
"Liberty County, MT",30051,14402
"Lincoln County, MT",30053,116130
"McCone County, MT",30055,10179
"Madison County, MT",30057,48314
"Meagher County, MT",30059,11164
"Mineral County, MT",30061,25538
"Missoula County, MT",30063,691034
"Musselshell County, MT",30065,27679
"Park County, MT",30067,96737
"Petroleum County, MT",30069,2991
"Phillips County, MT",30071,24866
"Pondera County, MT",30073,36630
"Powder River County, MT",30075,10518
"Powell County, MT",30077,41363
"Prairie County, MT",30079,6865
"Ravalli County, MT",30081,251049
"Richland County, MT",30083,68184
"Roosevelt County, MT",30085,67395
"Rosebud County, MT",30087,55651
"Sanders County, MT",30089,69152
"Sheridan County, MT",30091,21592
"Silver Bow County, MT",30093,207973
"Stillwater County, MT",30095,56453
"Sweet Grass County, MT",30097,21992
"Teton County, MT",30099,36536
"Toole County, MT",30101,30091
"Treasure County, MT",30103,4139
"Valley County, MT",30105,45338
"Wheatland County, MT",30107,12839
"Wibaux County, MT",30109,6519
"Yellowstone County, MT",30111,944398
"Adams County, NE",31001,189527
"Antelope County, NE",31003,38295
"Arthur County, NE",31005,2758
"Banner County, NE",31007,4581
"Blaine County, NE",31009,2915
"Boone County, NE",31011,31979
"Box Butte County, NE",31013,66834
"Boyd County, NE",31015,11985
"Brown County, NE",31017,17760
"Buffalo County, NE",31019,293710
"Burt County, NE",31021,39301
"Butler County, NE",31023,48839
"Cass County, NE",31025,154208
"Cedar County, NE",31027,51532
"Chase County, NE",31029,23819
"Cherry County, NE",31031,34809
"Cheyenne County, NE",31033,59443
"Clay County, NE",31035,37598
"Colfax County, NE",31037,63329
"Cuming County, NE",31039,54146
"Custer County, NE",31041,64870
"Dakota County, NE",31043,123312
"Dawes County, NE",31045,53770
"Dawson County, NE",31047,143247
"Deuel County, NE",31049,11379
"Dixon County, NE",31051,34655
"Dodge County, NE",31053,220220
"Douglas County, NE",31055,3314059
"Dundy County, NE",31057,11068
"Fillmore County, NE",31059,33807
"Franklin County, NE",31061,18173
"Frontier County, NE",31063,15898
"Furnas County, NE",31065,28897
"Gage County, NE",31067,130320
"Garden County, NE",31069,11464
"Garfield County, NE",31071,12080
"Gosper County, NE",31073,11910
"Grant County, NE",31075,3843
"Greeley County, NE",31077,14534
"Hall County, NE",31079,368723
"Hamilton County, NE",31081,55110
"Harlan County, NE",31083,20774
"Hayes County, NE",31085,5547
"Hitchcock County, NE",31087,17121
"Holt County, NE",31089,61795
